abato	аббат.
abdiki	vt сложить полномочия, отречься, отказаться 
abelo	I энт.  пчела // maj. Абель 
aberacio	1. астр. , физ.  аберрация, отклонение. 2. биол. , мед.  аберрация, отклонение (от нормы). 
abio	бот.  пихта.
abismo	1. прям. , перен.  пропасть, бездна, пучина; 2. геогр.  абиссаль, область больших глубин. 
abituriento	выпускник среднего учебного заведения, выпускник школы, абитуриент;
ablativo	грам.  аблатив.
abnegacio	самоотверженность; самоотречение; отрешение.
aboco	1. азбука, алфавит (= alfabeto); 2. азы, основы, начатки (знаний).
aboli	vt отменить, упразднить (обычай, уклад и т.п.);
abolicii	vt отменить, упразднить (обычай, уклад и т.п.);
abomeni	vt (ion, iun) питать (или  испытывать) отвращение, относиться с отвращением (к чему-л., к кому-л.), брезговать (чем-л., кем-л.).
aboni	vt 1. абонировать, пользоваться по абонементу, получать по абонементу; выписывать, получать по подписке; 2. купить абонемент на; подписаться на; выписать (периодическое издание); (= ekaboni). 
aborigeno	абориген (представитель мифических древних обитателей средней Италии; тж. перен. о древнем или коренном жителе);
aborti	vn 1. мед.  выкинуть плод, преждевременно родить; 2. перен. остановиться в развитии; окончиться провалом, потерпеть неудачу.
abrakadabro	сомнит. слово, употребляемое русскоязычными эсперантистами в значении «бессмыслица, непонятный набор слов» ( = galimatio, sensencajxo, nekompreneblajxo);
abrikoto	абрикос.
abrupta	отрывистый, обрывистый, резкий (о голосе, словах, звуках); резкий, крутой (о движениях, остановке).
absceso	мед.  абсцесс, нарыв, гнойник.
absinto	1. бот.  полынь горькая; 2. абсент, полынная настойка. 
absoluta	абсолютный; безусловный, безоговорочный. 
absolvi	см. malkondamni; pekliberigi
absorbi	vt 1. увлечь; поглотить; завладеть (вниманием и т.п.).
abstini	vn воздерживаться; вести трезвый образ жизни, придерживаться трезвого образа жизни.
abstrakta	абстрактный, отвлечённый.
absurda	абсурдный, нелепый. 
abunda	(je io) (из)обильный, изобилующий (чем-л.).
acerba	1. терпкий; 2. перен. колкий, резкий, язвительный.
acero	бот.  клён.
acetileno	
aceto	хим.  уксус, уксусная эссенция, уксусная кислота;
acido	хим.  кислота. 
acxeti	vt 1. купить, закупить. 2. подкупать (= subacxeti, korupti .1). 
adapti	vt адаптировать; приспособить; подогнать, приладить (= alarangxi).
adekvata	адекватный, соответственный, соответствующий;
adepto	адепт, последователь, сторонник, приверженец;
adiaux	interj прощай(те)!. 
adicii	vt мат.  сложить, складывать; перен.  добавить (что-л. к чему-л.).
adjektivo	грам.  (имя) прилагательное.
adjunkto	адъюнкт (заместитель, помощник должностного лица);
adjutanto	адъютант.
administracio	3. (государственная) администрация; управление.
administri	vt администрировать; управлять, ведать, заведовать, руководить; вести дела.
admiralo	мор., воен.  адмирал; ср.  cxefadmiralo, vicadmiralo, subadmiralo.
admiri	vt восхищаться, любоваться, преклоняться, восторгаться;
admoni	vt призывать, убеждать, уговаривать; увещевать, увещать, усовещивать, взывать к совести.
adoleski	vn находиться в подростковом, юношеском возрасте;
adolto	взрослый (сущ. = plenkreskulo);
adopti	vt 1. усыновить, удочерить; 2. перен.  воспринять, усвоить, перенять (обычай, мнение, язык и т.п.). 
adori	vt 1. поклоняться. 2. обожать, боготворить, преклоняться (испытывать преклонение).
adrenalino	физиол. адреналин;
adreso	адрес.
adulti	vn 1. нарушить супружескую верность, совершить прелюбодеяние, изменить; 2. (в Ветхом Завете) изменить Богу, отступиться от Бога.
advento	иногда maj; церк.  адвент, рождественский пост, период рождественского поста;
adverbo	грам.  наречие.
advokato	адвокат, защитник.
aero	воздух.
aeronauxto	аэронавт, воздухоплаватель.
aeroplano	самолёт, аэроплан;
aerostato	аэростат, летательный аппарат легче воздуха.
afabla	любезный; ласковый; приветливый; обходительный; радушный; внимательный, милый (в поведении).
afekcii	vt 1. (из)менять душевное состояние; 2. выводить из душевного равновесия; возбуждать, волновать; потрясать, поражать; 3. мед.  поражать, вызывать болезненное состояние, производить болезненные изменения. 
